Item Number,Commodity Type,Agile Commodity Code,Component Supplier Name,Volume YTD, Spend YTD , Savings YTD , Price YTD 
0104033J89,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104033J89-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,6992," $7,510.05 ", $143.39 , $1.07 
0104034J03,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104034J15,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104034J15-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,17416," $4,473.60 ", $68.49 , $0.26 
0104035J11,Mech Assembly,Mechanical Assembly - Subassembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104035J11,Mech Assembly,Mechanical Assembly - Subassembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,120," $1,148.00 ", $-   , $9.57 
0104035J37,Mech Assembly,Mechanical Assembly - Subassembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104035J48,Mech Assembly,Mechanical Assembly - Subassembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,49, $947.86 , $-   , $19.34 
0104035J67,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104035J76,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104035J76-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,12568," $8,376.46 ", $231.36 , $0.67 
0104035J78,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104035J78-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104035J80,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104035J80-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104036J06,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104036J25,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104036J25-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104036J77,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104036J77-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104037J05Z-CONV,EMS,EMS-CONV,Sanmina-SCI Systems (Malaysia) Sdn Bhd,20, $35.17 , $(1.93), $1.76 
0104037J33,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104037J33-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104038J16,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,173," $1,397.17 ", $11.17 , $8.08 
0104038J67,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104038J67-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104038J72,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104038J72-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104038J86,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104038J86-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,28604," $22,489.04 ", $824.08 , $0.79 
0104039J06,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104039J06-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104039J10-CONV,EMS,EMS-CONV,Sanmina-SCI Systems (Malaysia) Sdn Bhd,236, $270.58 , $(43.80), $1.12 
