Item Number,Commodity Type,Agile Commodity Code,Component Supplier Name,Volume YTD, Spend YTD , Savings YTD , Price YTD 
0611079A72,Passives,Passive - Resistor - Chip,Sanmina Corporation.,302, $0.32 , $-   , $0.00 
0611079A74,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2272, $1.34 , $-   , $0.00 
0611079A76,Passives,Passive - Resistor - Chip,Sanmina Corporation.,149, $0.08 , $-   , $0.00 
0611079A78,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-12, $(0.01), $-   , $0.00 
0611079A82,Passives,Passive - Resistor - Chip,Sanmina Corporation.,1046, $0.62 , $-   , $0.00 
0611079A84,Passives,Passive - Resistor - Chip,Sanmina Corporation.,717, $0.42 , $-   , $0.00 
0611079A86,Passives,Passive - Resistor - Chip,Sanmina Corporation.,540, $0.30 , $-   , $0.00 
0611079A88,Passives,Passive - Resistor - Chip,Sanmina Corporation.,34, $0.13 , $-   , $0.00 
0611079A90,Passives,Passive - Resistor - Chip,Sanmina Corporation.,1154, $0.68 , $-   , $0.00 
0611079A92,Passives,Passive - Resistor - Chip,Sanmina Corporation.,562, $0.44 , $-   , $0.00 
0611079A94,Passives,Passive - Resistor - Chip,Sanmina Corporation.,288, $0.16 , $-   , $0.00 
0611079A96,Passives,Passive - Resistor - Chip,Sanmina Corporation.,116, $0.06 , $-   , $0.00 
0611079A98,Passives,Passive - Resistor - Chip,Sanmina Corporation.,4000, $3.28 , $-   , $0.00 
0611079B01,Passives,Passive - Resistor - Chip,Sanmina Corporation.,56, $0.03 , $-   , $0.00 
0611079B03,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079B06,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-18, $(0.07), $-   , $0.00 
0611079B07,Passives,Passive - Resistor - Chip,Sanmina Corporation.,115, $0.08 , $-   , $0.00 
0611079B09,Passives,Passive - Resistor - Chip,Sanmina Corporation.,505, $0.39 , $-   , $0.00 
0611079B11,Passives,Passive - Resistor - Chip,Sanmina Corporation.,208, $0.61 , $-   , $0.00 
0611079B15,Passives,Passive - Resistor - Chip,Sanmina Corporation.,488, $0.38 , $-   , $0.00 
0611079B17,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079B19,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-6, $(0.00), $-   , $0.00 
0611079B21,Passives,Passive - Resistor - Chip,Sanmina Corporation.,23, $0.01 , $-   , $0.00 
0611079B23,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079B32,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-2, $(0.00), $-   , $0.00 
0611079B33,Passives,Passive - Resistor - Chip,Sanmina Corporation.,93, $0.09 , $-   , $0.00 
0611079B35,Passives,Passive - Resistor - Chip,Sanmina Corporation.,229, $0.16 , $-   , $0.00 
0611079B37,Passives,Passive - Resistor - Chip,Sanmina Corporation.,112, $0.09 , $-   , $0.00 
0611079B45,Passives,Passive - Resistor - Chip,Sanmina Corporation.,23, $0.02 , $-   , $0.00 
0611079B47,Passives,Passive - Resistor - Chip,Sanmina Corporation.,341, $0.24 , $-   , $0.00 
0611079D05,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079D18,Passives,Passive - Resistor - Chip,Sanmina Corporation.,267, $0.21 , $-   , $0.00 
0611079D30,Passives,Passive - Resistor - Chip,Sanmina Corporation.,130, $0.10 , $-   , $0.00 
0611079D35,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-2, $(0.00), $-   , $0.00 
0611079D51,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2, $0.00 , $-   , $0.00 
0611079D55,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-6, $(0.01), $-   , $0.00 
0611079D66,Passives,Passive - Resistor - Chip,Sanmina Corporation.,229, $0.22 , $-   , $0.00 
0611079D69,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-10, $(0.02), $-   , $0.00 
0611079D73,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $0.00 
0611079D89,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079D91,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079D93,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-15, $(0.04), $-   , $0.00 
0611079E01,Passives,Passive - Resistor - Chip,Sanmina Corporation.,978, $0.89 , $-   , $0.00 
0611079E06,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079E09,Passives,Passive - Resistor - Chip,Sanmina Corporation.,56, $0.06 , $-   , $0.00 
0611079E30,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-6, $(0.00), $-   , $0.00 
0611079E73,Passives,Passive - Resistor - Chip,Sanmina Corporation.,65, $0.21 , $-   , $0.00 
0611079E97,Passives,Passive - Resistor - Chip,Sanmina Corporation.,150, $0.14 , $-   , $0.00 
0611079F06,Passives,Passive - Resistor - Chip,Sanmina Corporation.,56, $0.06 , $-   , $0.00 
0611079F09,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079F11,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079F20,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-4, $(0.01), $0.01 , $0.00 
0611079F22,Passives,Passive - Resistor - Chip,Sanmina Corporation.,61, $0.05 , $-   , $0.00 
0611079F30,Passives,Passive - Resistor - Chip,Sanmina Corporation.,721, $0.55 , $-   , $0.00 
0611079F34,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-6, $(0.00), $-   , $0.00 
0611079F44,Passives,Passive - Resistor - Chip,Sanmina Corporation.,122, $0.10 , $-   , $0.00 
0611079F47,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-2, $(0.00), $-   , $0.00 
0611079F51,Passives,Passive - Resistor - Chip,Sanmina Corporation.,101, $0.08 , $-   , $0.00 
0611079F54,Passives,Passive - Resistor - Chip,Sanmina Corporation.,159, $0.19 , $-   , $0.00 
0611079F63,Passives,Passive - Resistor - Chip,Sanmina Corporation.,20, $0.02 , $-   , $0.00 
0611079F67,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079F74,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079F77,Passives,Passive - Resistor - Chip,Sanmina Corporation.,133, $0.11 , $-   , $0.00 
0611079F81,Passives,Passive - Resistor - Chip,Sanmina Corporation.,571, $0.43 , $-   , $0.00 
0611079F93,Passives,Passive - Resistor - Chip,Sanmina Corporation.,62, $0.05 , $-   , $0.00 
0611079F94,Passives,Passive - Resistor - Chip,Sanmina Corporation.,56, $0.04 , $-   , $0.00 
0611079G02,Passives,Passive - Resistor - Chip,Sanmina Corporation.,112, $0.08 , $-   , $0.00 
0611079G05,Passives,Passive - Resistor - Chip,Sanmina Corporation.,240, $0.19 , $-   , $0.00 
0611079G09,Passives,Passive - Resistor - Chip,Sanmina Corporation.,357, $0.57 , $-   , $0.00 
0611079G11,Passives,Passive - Resistor - Chip,Sanmina Corporation.,223, $0.26 , $-   , $0.00 
0611079G16,Passives,Passive - Resistor - Chip,Sanmina Corporation.,56, $0.06 , $-   , $0.00 
0611079G17,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-3, $(0.00), $-   , $0.00 
0611079G18,Passives,Passive - Resistor - Chip,Sanmina Corporation.,59, $0.06 , $-   , $0.00 
0611079G26,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-2, $(0.00), $-   , $0.00 
0611079G30,Passives,Passive - Resistor - Chip,Sanmina Corporation.,378, $0.92 , $-   , $0.00 
0611079G34,Passives,Passive - Resistor - Chip,Sanmina Corporation.,534, $0.58 , $-   , $0.00 
0611079G35,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-2, $(0.00), $-   , $0.00 
0611079G41,Passives,Passive - Resistor - Chip,Sanmina Corporation.,152, $1.58 , $-   , $0.01 
0611079G42,Passives,Passive - Resistor - Chip,Sanmina Corporation.,126, $0.09 , $-   , $0.00 
0611079G49,Passives,Passive - Resistor - Chip,Sanmina Corporation.,161, $0.26 , $-   , $0.00 
0611079G53,Passives,Passive - Resistor - Chip,Sanmina Corporation.,61, $0.07 , $-   , $0.00 
0611079G58,Passives,Passive - Resistor - Chip,Sanmina Corporation.,454, $0.43 , $-   , $0.00 
0611079G60,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-4, $(0.00), $-   , $0.00 
0611079G66,Passives,Passive - Resistor - Chip,Sanmina Corporation.,127, $0.10 , $-   , $0.00 
0611079G68,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079G69,Passives,Passive - Resistor - Chip,Sanmina Corporation.,643, $0.51 , $-   , $0.00 
0611079G74,Passives,Passive - Resistor - Chip,Sanmina Corporation.,441, $0.51 , $-   , $0.00 
0611079G85,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0611079G87,Passives,Passive - Resistor - Chip,Sanmina Corporation.,48, $0.04 , $-   , $0.00 
0611086C11,Passives,Passive - Resistor - Film,Sanmina Corporation.,0, $-   , $-   , $-   
0613937A38,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0613952A01,Passives,Passive - Resistor - Chip,Sanmina Corporation,4079, $1.39 , $-   , $0.00 
0613952A09,Passives,Passive - Resistor - Chip,Sanmina Corporation.,54, $0.02 , $-   , $0.00 
0613952A18,Passives,Passive - Resistor - Chip,Sanmina Corporation.,6478, $3.30 , $-   , $0.00 
0613952A30,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.15 , $-   , $0.00 
0613952A30,Passives,Passive - Resistor - Chip,Sanmina Corporation.,64, $0.04 , $(0.01), $0.00 
0613952A34,Passives,Passive - Resistor - Chip,Sanmina Corporation,120, $0.04 , $-   , $0.00 
0613952A41,Passives,Passive - Resistor - Chip,Sanmina Corporation.,222, $0.08 , $-   , $0.00 
0613952A43,Passives,Passive - Resistor - Chip,Sanmina Corporation.,98, $0.06 , $-   , $0.00 
0613952A51,Passives,Passive - Resistor - Chip,Sanmina Corporation,4563, $1.55 , $-   , $0.00 
0613952A66,Passives,Passive - Resistor - Chip,Sanmina Corporation.,1548, $1.04 , $(0.46), $0.00 
0613952A68,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,530, $0.36 , $-   , $0.00 
0613952A73,Passives,Passive - Resistor - Chip,Sanmina Corporation.,55, $0.04 , $(0.01), $0.00 
0613952A83,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-2, $(0.00), $-   , $0.00 
0613952A89,Passives,Passive - Resistor - Chip,Sanmina Corporation.,14, $0.01 , $-   , $0.00 
0613952B01,Passives,Passive - Resistor - Chip,Sanmina Corporation,10893, $3.70 , $-   , $0.00 
0613952B05,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2315, $4.05 , $-   , $0.00 
0613952B10,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,907.2, $0.31 , $-   , $0.00 
0613952B12,Passives,Passive - Resistor - Chip,Sanmina Corporation.,371, $0.19 , $-   , $0.00 
0613952B18,Passives,Passive - Resistor - Chip,Sanmina Corporation,772, $0.27 , $-   , $0.00 
0613952B23,Passives,Passive - Resistor - Chip,Sanmina Corporation.,303, $0.20 , $-   , $0.00 
0613952B25,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.26 , $-   , $0.00 
0613952B25,Passives,Passive - Resistor - Chip,Sanmina Corporation.,27, $0.01 , $-   , $0.00 
0613952B26,Passives,Passive - Resistor - Chip,Sanmina Corporation,4813, $1.64 , $-   , $0.00 
0613952B30,Passives,Passive - Resistor - Chip,Sanmina Corporation.,9096, $4.73 , $-   , $0.00 
0613952B32,Passives,Passive - Resistor - Chip,Sanmina Corporation.,4226, $2.16 , $-   , $0.00 
0613952B34,Passives,Passive - Resistor - Chip,Sanmina Corporation,965, $0.33 , $-   , $0.00 
0613952B37,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-4, $(0.00), $-   , $0.00 
0613952B43,Passives,Passive - Resistor - Chip,Sanmina Corporation.,9436, $4.81 , $-   , $0.00 
0613952B45,Passives,Passive - Resistor - Chip,Sanmina Corporation.,160, $0.12 , $-   , $0.00 
0613952B46,Passives,Passive - Resistor - Chip,Sanmina Corporation.,3518, $9.92 , $-   , $0.00 
0613952B49,Passives,Passive - Resistor - Chip,Sanmina Corporation.,4448, $1.56 , $-   , $0.00 
0613952B50,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-4, $(0.00), $-   , $0.00 
0613952B51,Passives,Passive - Resistor - Chip,Sanmina Corporation,9269, $3.15 , $-   , $0.00 
0613952B59,Passives,Passive - Resistor - Chip,Sanmina Corporation.,882, $0.37 , $-   , $0.00 
0613952B62,Passives,Passive - Resistor - Chip,Sanmina Corporation.,27, $0.02 , $(0.00), $0.00 
0613952B68,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.23 , $0.03 , $0.00 
0613952B69,Passives,Passive - Resistor - Chip,Sanmina Corporation,15969, $5.43 , $-   , $0.00 
0613952B69,Passives,Passive - Resistor - Chip,Sanmina Corporation.,312, $0.17 , $-   , $0.00 
0613952B73,Passives,Passive - Resistor - Chip,Sanmina Corporation,3580, $1.22 , $-   , $0.00 
0613952B73,Passives,Passive - Resistor - Chip,Sanmina Corporation.,380, $0.19 , $-   , $0.00 
0613952B76,Passives,Passive - Resistor - Chip,Sanmina Corporation.,8, $0.00 , $-   , $0.00 
0613952B79,Passives,Passive - Resistor - Chip,Sanmina Corporation.,74, $0.03 , $-   , $0.00 
0613952B81,Passives,Passive - Resistor - Chip,Sanmina Corporation,4274, $1.45 , $-   , $0.00 
0613952B81,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,18, $0.01 , $(0.00), $0.00 
0613952B84,Passives,Passive - Resistor - Chip,Sanmina Corporation.,1048, $0.37 , $-   , $0.00 
0613952B87,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,9, $0.01 , $-   , $0.00 
0613952B89,Passives,Passive - Resistor - Chip,Sanmina Corporation,7217, $2.45 , $-   , $0.00 
0613952C01,Passives,Passive - Resistor - Chip,Sanmina Corporation,2336, $0.79 , $-   , $0.00 
0613952C07,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2582, $1.32 , $-   , $0.00 
0613952C09,Passives,Passive - Resistor - Chip,Sanmina Corporation,97, $0.03 , $-   , $0.00 
0613952C11,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2176, $0.78 , $-   , $0.00 
0613952C12,Passives,Passive - Resistor - Chip,Sanmina Corporation.,574, $0.30 , $-   , $0.00 
0613952C15,Passives,Passive - Resistor - Chip,Sanmina Corporation.,8179, $4.17 , $-   , $0.00 
0613952C17,Passives,Passive - Resistor - Chip,Sanmina Corporation.,1646, $1.65 , $-   , $0.00 
0613952C18,Passives,Passive - Resistor - Chip,Sanmina Corporation,7965, $2.71 , $-   , $0.00 
0613952C22,Passives,Passive - Resistor - Chip,Sanmina Corporation,3580, $1.22 , $-   , $0.00 
0613952C23,Passives,Passive - Resistor - Chip,Sanmina Corporation.,7408, $3.70 , $-   , $0.00 
0613952C24,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0613952C24,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,12, $0.01 , $-   , $0.00 
0613952C26,Passives,Passive - Resistor - Chip,Sanmina Corporation,1885, $0.64 , $-   , $0.00 
0613952C27,Passives,Passive - Resistor - Chip,Sanmina Corporation.,8, $0.00 , $-   , $0.00 
0613952C30,Passives,Passive - Resistor - Chip,Sanmina Corporation,885, $0.30 , $-   , $0.00 
0613952C31,Passives,Passive - Resistor - Chip,Sanmina Corporation.,27, $0.01 , $-   , $0.00 
0613952C38,Passives,Passive - Resistor - Chip,Sanmina Corporation.,5111, $3.42 , $(0.77), $0.00 
0613952C39,Passives,Passive - Resistor - Chip,Sanmina Corporation.,38, $0.02 , $-   , $0.00 
0613952C41,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2356, $2.87 , $-   , $0.00 
0613952C43,Passives,Passive - Resistor - Chip,Sanmina Corporation,3880, $1.32 , $-   , $0.00 
0613952C43,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2981, $1.13 , $-   , $0.00 
0613952C46,Passives,Passive - Resistor - Chip,Sanmina Corporation,1544, $0.57 , $-   , $0.00 
0613952C47,Passives,Passive - Resistor - Chip,Sanmina Corporation,1810, $0.62 , $-   , $0.00 
0613952C48,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2356, $2.87 , $-   , $0.00 
0613952C49,Passives,Passive - Resistor - Chip,Sanmina Corporation.,8, $0.00 , $-   , $0.00 
0613952C51,Passives,Passive - Resistor - Chip,Sanmina Corporation,6771, $2.30 , $-   , $0.00 
0613952C52,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2248, $0.97 , $-   , $0.00 
0613952C53,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,89.25, $0.06 , $-   , $0.00 
0613952C55,Passives,Passive - Resistor - Chip,Sanmina Corporation.,8, $0.01 , $-   , $0.00 
0613952C65,Passives,Passive - Resistor - Chip,Sanmina Corporation.,14, $0.02 , $-   , $0.00 
0613952C66,Passives,Passive - Resistor - Chip,Sanmina Corporation,1107, $0.38 , $-   , $0.00 
0613952C67,Passives,Passive - Resistor - Chip,Sanmina Corporation.,-4, $(0.00), $-   , $0.00 
0613952C70,Passives,Passive - Resistor - Chip,Sanmina Corporation.,37, $0.02 , $-   , $0.00 
0613952C73,Passives,Passive - Resistor - Chip,Sanmina Corporation,5407, $1.84 , $-   , $0.00 
0613952C81,Passives,Passive - Resistor - Chip,Sanmina Corporation,10293, $3.50 , $-   , $0.00 
0613952C83,Passives,Passive - Resistor - Chip,Sanmina Corporation.,903, $0.46 , $-   , $0.00 
0613952C86,Passives,Passive - Resistor - Chip,Sanmina Corporation.,332, $0.22 , $-   , $0.00 
0613952C88,Passives,Passive - Resistor - Chip,Sanmina Corporation.,640, $0.23 , $-   , $0.00 
0613952C89,Passives,Passive - Resistor - Chip,Sanmina Corporation.,28, $0.01 , $-   , $0.00 
0613952C89,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,24, $0.01 , $(0.00), $0.00 
0613952D01,Passives,Passive - Resistor - Chip,Sanmina Corporation,10551, $3.59 , $-   , $0.00 
0613952D02,Passives,Passive - Resistor - Chip,Sanmina Corporation,3088, $1.14 , $0.93 , $0.00 
0613952D03,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0613952D05,Passives,Passive - Resistor - Chip,Sanmina Corporation.,8, $0.00 , $-   , $0.00 
0613952D09,Passives,Passive - Resistor - Chip,Sanmina Corporation.,1207, $0.81 , $(0.18), $0.00 
0613952D10,Passives,Passive - Resistor - Chip,Sanmina Corporation.,10686, $7.16 , $(1.60), $0.00 
0613952D11,Passives,Passive - Resistor - Chip,Sanmina Corporation.,268, $0.49 , $1.48 , $0.00 
0613952D12,Passives,Passive - Resistor - Chip,Sanmina Corporation.,4, $0.00 , $-   , $0.00 
0613952D18,Passives,Passive - Resistor - Chip,Sanmina Corporation,9220, $3.13 , $-   , $0.00 
0613952D20,Passives,Passive - Resistor - Chip,Sanmina Corporation,40, $0.03 , $-   , $0.00 
0613952D22,Passives,Passive - Resistor - Chip,Sanmina Corporation.,41, $0.03 , $-   , $0.00 
0613952D25,Passives,Passive - Resistor - Chip,Sanmina Corporation,1544, $0.57 , $-   , $0.00 
0613952D26,Passives,Passive - Resistor - Chip,Sanmina Corporation,4600, $1.56 , $-   , $0.00 
0613952D27,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,1122, $0.75 , $(0.35), $0.00 
0613952D30,Passives,Passive - Resistor - Chip,Sanmina Corporation,1178, $0.40 , $-   , $0.00 
0613952D34,Passives,Passive - Resistor - Chip,Sanmina Corporation,1353, $0.46 , $-   , $0.00 
0613952D36,Passives,Passive - Resistor - Chip,Sanmina Corporation.,544, $0.28 , $-   , $0.00 
0613952D42,Passives,Passive - Resistor - Chip,Sanmina Corporation,9582, $3.26 , $-   , $0.00 
0613952D43,Passives,Passive - Resistor - Chip,Sanmina Corporation.,5586, $2.85 , $-   , $0.00 
0613952D46,Passives,Passive - Resistor - Chip,Sanmina Corporation.,74, $0.04 , $-   , $0.00 
0613952D47,Passives,Passive - Resistor - Chip,Sanmina Corporation,40, $0.03 , $-   , $0.00 
0613952D51,Passives,Passive - Resistor - Chip,Sanmina Corporation,466, $0.16 , $-   , $0.00 
0613952D58,Passives,Passive - Resistor - Chip,Sanmina Corporation,2666, $0.91 , $-   , $0.00 
0613952D58,Passives,Passive - Resistor - Chip,Sanmina Corporation.,16245, $10.88 , $(2.44), $0.00 
0613952D58,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,1122, $0.75 , $-   , $0.00 
0613952D59,Passives,Passive - Resistor - Chip,Sanmina Corporation,2316, $0.86 , $0.69 , $0.00 
0613952D59,Passives,Passive - Resistor - Chip,Sanmina Corporation.,32, $0.02 , $-   , $0.00 
0613952D63,Passives,Passive - Resistor - Chip,Sanmina Corporation.,484, $0.25 , $-   , $0.00 
0613952D65,Passives,Passive - Resistor - Chip,Sanmina Corporation.,3239, $1.30 , $-   , $0.00 
0613952D65,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,116, $0.05 , $(0.00), $0.00 
0613952D66,Passives,Passive - Resistor - Chip,Sanmina Corporation,28526, $9.70 , $-   , $0.00 
0613952D68,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2793, $1.20 , $-   , $0.00 
0613952D69,Passives,Passive - Resistor - Chip,Sanmina Corporation.,1088, $0.44 , $-   , $0.00 
0613952D73,Passives,Passive - Resistor - Chip,Sanmina Corporation,5567, $1.89 , $-   , $0.00 
0613952D75,Passives,Passive - Resistor - Chip,Panasonic Industrial Devices Sales Company Of America,4923, $3.30 , $-   , $0.00 
0613952D75,Passives,Passive - Resistor - Chip,Sanmina Corporation.,303, $0.20 , $-   , $0.00 
0613952D76,Passives,Passive - Resistor - Chip,Sanmina Corporation.,6563, $3.35 , $-   , $0.00 
0613952D81,Passives,Passive - Resistor - Chip,Sanmina Corporation,6570, $2.23 , $-   , $0.00 
0613952D82,Passives,Passive - Resistor - Chip,Sanmina Corporation.,6066, $4.06 , $(0.91), $0.00 
0613952D84,Passives,Passive - Resistor - Chip,Sanmina Corporation.,4, $0.00 , $-   , $0.00 
0613952D91,Passives,Passive - Resistor - Chip,Sanmina Corporation.,25, $0.03 , $-   , $0.00 
0613952D93,Passives,Passive - Resistor - Chip,Sanmina Corporation,37, $0.01 , $-   , $0.00 
0613952D95,Passives,Passive - Resistor - Chip,Sanmina Corporation.,7, $0.00 , $-   , $0.00 
0613952E01,Passives,Passive - Resistor - Chip,Sanmina Corporation,36706, $12.48 , $-   , $0.00 
0613952E02,Passives,Passive - Resistor - Chip,Sanmina Corporation.,32, $0.01 , $-   , $0.00 
0613952E03,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2563, $1.03 , $(0.08), $0.00 
0613952E05,Passives,Passive - Resistor - Chip,Sanmina Corporation.,3553, $1.31 , $-   , $0.00 
0613952E06,Passives,Passive - Resistor - Chip,Sanmina Corporation.,1271, $0.46 , $-   , $0.00 
0613952E11,Passives,Passive - Resistor - Chip,Sanmina Corporation.,11938, $6.09 , $-   , $0.00 
0613952E12,Passives,Passive - Resistor - Chip,Sanmina Corporation.,3400, $1.26 , $-   , $0.00 
0613952E16,Passives,Passive - Resistor - Chip,Sanmina Corporation.,1971, $1.30 , $-   , $0.00 
0613952E19,Passives,Passive - Resistor - Chip,Sanmina Corporation.,21, $0.01 , $(0.00), $0.00 
0613952E23,Passives,Passive - Resistor - Chip,Sanmina Corporation.,4808, $2.45 , $-   , $0.00 
0613952E24,Passives,Passive - Resistor - Chip,Sanmina Corporation.,7946, $4.21 , $-   , $0.00 
0613952E25,Passives,Passive - Resistor - Chip,Sanmina Corporation,9045, $3.08 , $-   , $0.00 
0613952E30,Passives,Passive - Resistor - Chip,Sanmina Corporation,3673, $1.25 , $-   , $0.00 
0613952E31,Passives,Passive - Resistor - Chip,Sanmina Corporation.,5008, $2.94 , $(0.34), $0.00 
0613952E34,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.15 , $(0.02), $0.00 
0613952E35,Passives,Passive - Resistor - Chip,Sanmina Corporation.,0, $-   , $-   , $-   
0613952E37,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0613952E38,Passives,Passive - Resistor - Chip,Sanmina Corporation,772, $0.31 , $0.21 , $0.00 
0613952E38,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,1122, $0.44 , $-   , $0.00 
0613952E39,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,1882, $0.73 , $(0.04), $0.00 
0613952E43,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.15 , $0.10 , $0.00 
0613952E44,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.15 , $0.10 , $0.00 
0613952E44,Passives,Passive - Resistor - Chip,Sanmina Corporation.,864, $0.32 , $-   , $0.00 
0613952E45,Passives,Passive - Resistor - Chip,Sanmina Corporation.,42, $0.02 , $-   , $0.00 
0613952E51,Passives,Passive - Resistor - Chip,Sanmina Corporation,2779, $0.94 , $-   , $0.00 
0613952E55,Passives,Passive - Resistor - Chip,Sanmina Corporation.,41, $0.09 , $-   , $0.00 
0613952E56,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.15 , $0.10 , $0.00 
0613952E56,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,50, $0.02 , $-   , $0.00 
0613952E58,Passives,Passive - Resistor - Chip,Sanmina Corporation,2706, $0.92 , $-   , $0.00 
0613952E62,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,1122, $0.57 , $(0.17), $0.00 
0613952E66,Passives,Passive - Resistor - Chip,Sanmina Corporation,5833, $1.98 , $-   , $0.00 
0613952E68,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.15 , $0.10 , $0.00 
0613952E70,Passives,Passive - Resistor - Chip,Sanmina Corporation.,2376, $0.95 , $-   , $0.00 
0613952E71,Passives,Passive - Resistor - Chip,Sanmina Corporation.,158, $0.06 , $-   , $0.00 
0613952E72,Passives,Passive - Resistor - Chip,Sanmina Corporation.,410, $0.15 , $-   , $0.00 
0613952E73,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.15 , $0.10 , $0.00 
0613952E88,Passives,Passive - Resistor - Chip,Sanmina Corporation,386, $0.15 , $0.19 , $0.00 
0613952E88,Passives,Passive - Resistor - Chip,Sanmina-SCI Systems (Malaysia) Sdn Bhd,9, $0.01 , $-   , $0.00 
0613952E89,Passives,Passive - Resistor - Chip,Sanmina Corporation.,655, $0.37 , $-   , $0.00 
0613952F01,Passives,Passive - Resistor - Chip,Sanmina Corporation,1292, $0.44 , $-   , $0.00 
